1,0,0,215,390,822,988,998,1015,254,164.91,130.91,35.70,12.37,23.05,15.18,40.99,
9,0,0,140,320,754,1001,1009,1000,214,11.47,11.76,10.85,8.80,19.08,22.22,21.36,
17,0,0,135,299,707,1007,1001,986,206,9.25,11.60,7.61,16.07,17.90,19.30,16.61,
25,0,0,131,282,661,1005,1006,985,194,11.62,12.29,10.54,7.15,15.25,18.84,20.04,
33,0,0,121,268,608,1010,995,984,178,20.06,20.73,19.32,11.69,22.76,12.04,16.54,
41,0,0,110,245,563,1015,982,954,153,13.04,11.24,11.26,8.66,19.56,6.72,13.91,
49,0,0,98,233,517,1013,1002,494,155,16.43,10.98,8.84,6.98,9.49,88.49,13.71,
57,0,0,91,213,464,1014,773,375,134,22.25,9.59,8.11,8.05,51.20,33.12,11.37,
65,0,0,82,199,429,1015,612,294,128,17.70,9.64,10.85,6.58,54.37,10.88,10.87,
73,0,0,75,185,387,1013,482,241,116,19.89,11.06,10.99,5.30,12.72,13.22,11.09,
81,0,0,73,167,343,1014,417,210,114,17.47,9.75,9.21,4.86,15.77,5.74,13.28,
89,0,0,68,154,298,1014,373,188,109,17.50,12.75,7.29,4.35,12.09,7.69,13.19,
97,0,0,60,140,256,1012,300,165,108,19.84,13.59,13.35,3.12,10.83,6.19,11.56,
105,0,0,58,126,209,1005,251,149,113,19.67,12.32,10.74,6.33,12.30,10.02,14.30,
113,0,0,63,112,168,929,211,132,101,15.33,14.62,15.41,10.13,7.19,7.63,18.06,
121,0,0,62,91,111,464,138,112,97,12.30,13.88,9.90,62.84,20.20,14.65,16.87,
1,0,8,207,383,817,1004,1002,997,229,148.36,118.41,30.25,16.08,21.48,22.03,44.12,
9,0,8,139,316,756,1007,997,996,193,11.66,10.91,10.07,13.24,21.25,21.03,15.78,
17,0,8,134,302,710,1009,996,993,185,11.19,12.66,12.78,12.33,21.96,19.35,12.60,
25,0,8,127,283,662,1006,993,985,179,11.35,10.61,10.53,11.82,22.25,17.80,13.20,
33,0,8,119,267,613,1009,981,981,166,11.74,11.81,8.44,10.89,21.54,9.99,13.33,
41,0,8,105,248,565,1013,980,954,157,13.49,12.14,10.90,8.55,19.92,6.57,14.52,
49,0,8,97,231,518,1011,1004,488,154,16.83,11.10,11.13,7.78,11.21,78.19,11.10,
57,0,8,87,213,466,1013,766,373,141,17.08,10.82,7.65,7.68,45.56,28.89,12.61,
65,0,8,78,201,425,1014,605,294,125,18.65,11.27,9.08,5.87,47.92,11.57,9.20,
73,0,8,74,186,391,1012,480,242,114,19.07,11.10,11.46,5.47,11.56,10.09,10.75,
81,0,8,71,170,346,1014,418,209,107,18.51,11.86,10.94,5.81,13.13,5.65,9.98,
89,0,8,66,154,299,1013,379,189,112,18.87,11.64,8.37,4.22,9.69,7.95,15.67,
97,0,8,64,141,250,1013,302,165,113,18.21,14.05,8.23,3.23,13.24,7.45,13.72,
105,0,8,60,126,213,1007,248,147,102,18.30,14.21,14.11,4.88,9.49,8.83,11.73,
113,0,8,62,110,162,934,222,134,109,15.27,14.29,8.49,9.77,9.50,9.30,18.17,
121,0,8,63,92,108,464,137,112,99,11.14,14.11,7.72,61.52,15.87,20.33,12.01,
1,0,16,199,380,816,1002,999,998,224,133.71,108.91,29.37,16.23,19.98,21.30,46.62,
9,0,16,140,319,756,1007,998,994,196,11.89,10.29,9.94,13.74,20.44,20.72,13.88,
17,0,16,133,299,709,1006,994,992,187,11.68,10.26,10.99,13.05,21.33,19.82,13.92,
25,0,16,127,284,665,1008,994,984,180,11.90,11.51,10.66,11.99,23.15,17.47,12.79,
33,0,16,118,268,617,1009,989,981,167,12.23,11.11,13.23,11.74,21.04,8.95,14.30,
41,0,16,108,250,567,1013,979,953,156,13.13,11.28,11.75,9.29,17.11,6.17,11.01,
49,0,16,96,233,520,1014,1003,480,155,17.00,11.77,10.40,8.04,10.07,70.09,12.63,
57,0,16,86,214,467,1010,758,370,137,18.28,10.67,7.12,7.73,42.04,25.65,12.71,
65,0,16,80,199,425,1012,599,295,131,18.80,9.69,9.10,6.92,43.70,11.98,13.16,
73,0,16,76,182,384,1013,481,241,119,18.32,10.00,8.24,6.17,12.26,10.74,11.62,
81,0,16,71,170,345,1014,423,208,121,17.70,11.36,9.08,4.88,12.39,5.98,13.39,
89,0,16,64,155,304,1015,377,189,108,19.99,12.53,11.34,4.51,9.68,6.96,9.91,
97,0,16,61,142,257,1012,298,162,102,19.52,14.60,12.49,3.15,10.91,7.58,12.18,
105,0,16,60,126,214,1008,249,145,111,19.06,12.83,11.84,3.66,8.86,8.04,13.69,
113,0,16,59,111,159,940,219,135,112,14.94,13.33,8.09,9.21,6.54,9.62,20.04,
121,0,16,63,94,111,465,133,105,104,10.20,16.30,8.74,61.42,15.47,13.02,13.08,
1,0,24,191,373,812,1000,998,996,227,114.61,98.98,25.20,15.20,23.07,19.67,43.29,
9,0,24,138,316,759,1007,996,995,196,10.39,10.45,10.10,13.34,21.25,19.61,14.85,
17,0,24,132,301,708,1002,996,994,188,11.08,11.90,10.01,13.72,21.02,20.14,11.99,
25,0,24,125,285,664,1006,997,985,174,11.66,12.07,7.96,13.30,20.02,17.64,13.72,
33,0,24,117,265,613,1009,989,979,168,11.29,10.21,9.46,11.23,21.70,10.74,12.33,
41,0,24,104,249,564,1012,982,952,156,13.07,10.91,8.90,9.40,21.05,5.90,10.99,
49,0,24,96,233,521,1012,1001,476,155,16.79,10.20,11.90,8.56,10.61,65.14,11.77,
57,0,24,86,213,470,1013,751,371,133,17.99,10.87,10.81,8.14,39.54,25.80,11.28,
65,0,24,80,199,432,1015,590,295,125,17.82,9.91,9.65,7.13,40.29,11.50,10.48,
73,0,24,74,185,390,1013,474,241,115,19.29,10.60,9.65,6.00,9.42,10.80,10.92,
