1,0,0,97,211,461,1000,562,353,188,23.79,9.12,15.03,8.41,33.81,12.68,17.84,
9,0,0,93,213,430,1008,564,290,158,27.35,24.84,13.96,6.99,60.13,11.68,15.85,
17,0,0,78,187,394,1010,497,248,143,20.38,10.33,9.94,6.70,25.69,18.94,13.68,
25,0,0,76,179,373,1010,446,235,135,18.48,11.19,10.60,6.25,8.65,14.27,13.30,
33,0,0,72,171,350,1008,406,225,129,18.75,10.13,8.22,4.87,7.64,7.55,12.39,
41,0,0,69,165,331,1011,376,207,121,18.22,10.43,10.58,5.06,11.27,6.98,12.56,
49,0,0,66,157,310,1010,344,192,115,19.49,10.06,10.95,5.75,17.84,8.26,12.24,
57,0,0,65,148,285,1012,329,176,113,17.51,9.67,7.94,4.22,13.98,7.02,11.60,
65,0,0,61,141,260,1010,308,170,113,18.28,12.24,7.02,4.40,16.13,7.72,11.98,
73,0,0,56,134,243,1009,283,157,101,17.96,12.66,11.34,3.62,13.10,6.94,11.59,
81,0,0,56,126,217,1006,253,152,108,17.58,13.17,8.11,3.30,9.04,9.76,13.56,
89,0,0,59,120,197,995,220,136,105,17.75,12.79,9.41,7.45,13.86,6.81,14.66,
97,0,0,58,114,172,955,179,126,100,16.75,14.52,10.36,15.96,20.73,8.90,12.42,
105,0,0,59,105,151,799,153,116,103,14.55,13.70,12.89,26.41,16.61,8.32,11.60,
113,0,0,59,98,128,562,139,113,113,11.95,13.36,11.20,33.82,14.55,14.67,16.10,
121,0,0,61,93,105,328,118,102,119,11.43,15.79,11.10,33.17,11.16,12.78,14.82,
1,0,8,178,294,517,993,651,466,190,223.34,200.15,132.11,18.30,143.58,222.87,50.49,
9,0,8,80,195,422,1007,554,271,149,17.69,9.97,9.03,6.24,42.45,18.93,15.02,
17,0,8,74,187,395,1010,491,249,141,18.16,10.56,10.73,5.80,21.59,18.05,13.96,
25,0,8,73,179,375,1008,443,234,134,17.25,10.24,10.71,6.72,8.29,15.05,14.18,
33,0,8,71,170,345,1010,403,223,128,18.26,10.22,7.17,5.31,6.18,5.93,11.72,
41,0,8,70,164,331,1010,370,204,119,17.33,10.44,10.38,5.23,13.43,7.19,13.33,
49,0,8,64,154,308,1010,347,189,120,18.77,9.51,8.28,6.10,14.64,6.11,11.69,
57,0,8,66,150,284,1010,325,176,115,18.71,11.47,7.45,4.76,16.20,7.30,12.92,
65,0,8,62,142,264,1010,312,167,110,18.61,12.50,10.43,4.44,13.97,5.91,11.73,
73,0,8,62,132,239,1009,283,155,105,17.95,10.30,9.75,3.76,12.79,8.32,13.14,
81,0,8,57,126,218,1007,255,145,106,18.85,11.75,9.75,4.03,8.72,7.34,13.66,
89,0,8,58,119,192,997,216,140,108,17.54,14.09,7.34,4.67,11.46,8.89,13.30,
97,0,8,58,112,173,959,186,123,100,15.49,13.32,10.27,12.45,18.52,8.10,12.55,
105,0,8,63,105,151,808,164,117,104,12.92,13.54,11.43,21.27,15.66,9.02,13.60,
113,0,8,62,97,126,573,129,108,114,10.50,15.40,9.52,30.31,13.81,10.06,14.35,
121,0,8,61,92,110,332,122,105,117,10.94,16.21,15.28,32.17,11.51,11.69,13.80,
1,0,16,167,284,511,993,646,445,179,202.88,183.62,121.10,17.87,128.65,208.10,42.80,
9,0,16,80,196,421,1009,547,275,149,18.69,9.63,6.93,6.70,40.49,17.17,14.39,
17,0,16,76,190,398,1011,491,253,142,16.46,11.35,10.04,6.30,18.78,15.99,15.01,
25,0,16,74,181,375,1009,447,240,133,18.96,10.22,10.78,5.65,10.91,12.83,12.67,
33,0,16,72,173,353,1010,405,226,127,17.35,11.16,9.91,5.34,8.56,7.60,13.33,
41,0,16,67,163,329,1008,374,206,123,17.79,11.53,10.42,5.85,15.29,7.24,12.32,
49,0,16,66,157,308,1009,346,188,117,19.50,10.53,8.79,5.70,16.02,6.20,10.94,
57,0,16,63,151,288,1011,328,179,116,18.21,11.54,9.34,5.59,14.23,6.79,12.40,
65,0,16,62,143,264,1009,315,170,110,19.07,12.48,10.43,4.32,12.12,7.94,11.08,
73,0,16,59,133,241,1009,292,157,104,17.98,12.85,10.86,3.61,10.41,7.50,10.70,
81,0,16,56,128,220,1006,256,148,107,18.29,13.45,11.85,2.98,6.94,6.94,11.85,
89,0,16,56,122,198,998,220,137,105,18.26,14.04,11.62,4.69,9.32,8.23,11.53,
97,0,16,58,113,176,963,181,122,104,16.79,13.84,13.17,9.74,19.28,7.20,10.05,
105,0,16,62,105,152,824,160,112,101,14.37,14.48,14.13,16.92,14.65,6.53,12.75,
113,0,16,59,98,127,587,129,113,117,12.10,14.81,10.56,27.62,11.85,12.61,12.62,
121,0,16,60,90,102,342,119,112,123,10.77,14.77,10.01,30.23,10.07,15.13,12.16,
1,0,24,160,275,503,990,636,429,183,190.97,162.46,106.03,17.48,121.67,191.49,49.88,
9,0,24,77,197,425,1010,546,279,146,17.13,10.20,11.20,6.02,38.02,15.36,13.09,
17,0,24,77,187,394,1009,491,255,144,17.58,9.91,9.27,6.26,17.62,14.88,14.57,
25,0,24,72,180,370,1008,442,240,135,18.65,10.41,7.75,6.24,8.52,11.10,12.11,
33,0,24,69,173,351,1007,408,227,122,18.49,11.29,9.41,5.40,8.41,6.58,11.87,
41,0,24,67,165,327,1009,372,203,121,17.86,9.92,6.23,5.15,11.26,6.32,12.23,
49,0,24,65,157,304,1008,355,189,119,18.49,10.26,6.94,6.23,12.67,6.13,10.13,
57,0,24,60,149,286,1009,330,181,119,18.24,11.62,8.12,5.23,12.28,7.63,12.81,
65,0,24,59,143,265,1010,316,170,112,18.37,11.86,9.66,4.88,11.03,7.44,10.01,
73,0,24,57,133,237,1009,291,159,110,18.98,12.07,7.13,3.73,9.09,8.06,14.00,
81,0,24,54,126,220,1007,263,149,108,18.71,13.03,10.76,3.18,9.91,7.33,12.46,
89,0,24,55,121,199,1000,222,138,102,18.07,14.52,12.24,3.06,11.00,8.78,12.20,
97,0,24,58,113,176,968,181,122,101,16.12,15.17,13.35,6.67,16.65,7.15,12.38,
105,0,24,59,102,146,827,166,118,106,13.57,12.13,9.80,15.54,12.84,13.43,13.09,
113,0,24,60,96,122,595,136,115,118,11.12,14.61,8.09,25.77,11.14,15.36,14.30,
121,0,24,58,92,107,344,112,101,130,10.95,17.07,15.35,27.88,8.21,9.51,13.01,
