1,0,0,340,832,994,995,989,987,174,140.39,30.25,21.82,29.43,29.83,26.66,51.37,
9,0,0,263,765,1013,990,983,981,144,15.05,8.40,9.35,27.19,30.79,22.88,17.46,
17,0,0,250,718,1009,988,981,983,137,15.84,8.56,8.30,26.42,29.52,23.38,17.80,
25,0,0,234,670,1006,985,977,974,129,19.95,8.53,10.10,23.91,23.01,21.00,15.15,
33,0,0,211,621,1005,983,977,939,127,14.96,10.37,11.47,26.00,16.53,38.65,17.01,
41,0,0,197,566,1009,976,943,872,123,16.69,9.26,11.34,25.92,10.19,92.77,14.93,
49,0,0,177,530,1004,988,562,437,121,17.39,10.29,8.06,13.36,87.29,77.76,15.14,
57,0,0,164,485,1010,732,318,323,119,16.97,13.26,8.15,71.39,63.96,20.28,10.90,
65,0,0,149,433,1008,526,247,255,112,20.03,12.04,8.99,65.30,16.29,20.43,13.01,
73,0,0,132,387,1006,424,228,213,116,18.91,11.16,8.20,8.30,22.45,20.83,11.56,
81,0,0,117,342,1007,365,206,188,111,18.15,7.11,8.36,10.62,7.94,12.12,14.77,
89,0,0,106,301,1008,305,182,147,94,18.17,10.22,6.28,16.31,8.16,14.14,13.75,
97,0,0,90,259,1010,282,157,130,98,18.60,11.54,6.47,20.74,9.27,7.89,13.05,
105,0,0,81,216,1005,233,151,127,106,19.65,8.12,5.00,10.10,10.72,11.36,16.06,
113,0,0,72,172,972,185,130,115,118,19.61,8.17,14.37,18.26,12.87,14.27,15.58,
121,0,0,60,130,633,157,131,112,124,18.62,11.47,41.60,20.38,16.75,17.98,15.36,
1,0,8,335,828,991,991,988,986,180,116.26,27.38,19.14,27.46,31.04,26.42,54.40,
9,0,8,267,767,1012,989,984,979,146,14.77,8.41,9.80,26.29,29.06,25.44,15.71,
17,0,8,250,719,1008,989,985,976,134,14.98,10.71,9.09,27.07,28.28,23.20,14.71,
25,0,8,233,669,1008,987,981,971,129,14.58,8.22,8.34,26.14,25.62,18.10,14.80,
33,0,8,216,621,1003,983,976,941,122,15.12,11.41,10.92,26.30,17.08,26.46,13.12,
41,0,8,197,566,1008,974,940,880,122,15.60,12.04,11.93,26.04,9.97,83.03,13.85,
49,0,8,182,528,1008,987,558,434,121,18.44,12.14,8.89,12.15,79.74,75.06,13.21,
57,0,8,164,482,1008,727,312,325,120,18.75,8.20,8.35,62.35,58.90,19.29,13.30,
65,0,8,146,434,1006,522,247,260,116,17.61,12.78,9.76,60.73,15.51,17.60,10.86,
73,0,8,132,384,1008,427,229,217,119,18.19,6.49,9.05,11.90,20.85,18.88,13.86,
81,0,8,121,344,1008,363,204,185,106,18.02,11.01,8.33,7.10,7.04,11.83,14.61,
89,0,8,107,303,1009,307,176,146,94,18.28,10.63,6.37,14.41,5.94,14.55,14.08,
97,0,8,94,256,1009,287,166,137,105,18.16,6.59,6.18,16.15,10.29,11.83,14.02,
105,0,8,82,218,1005,237,148,118,99,18.92,12.54,5.38,9.96,9.35,5.82,12.95,
113,0,8,72,170,975,180,134,119,116,18.83,7.80,12.69,15.83,12.62,17.64,13.68,
121,0,8,63,127,641,160,132,110,122,18.36,12.63,40.29,16.20,14.80,16.21,15.81,
1,0,16,327,827,993,990,988,986,176,98.60,24.89,18.81,28.07,30.22,24.78,52.00,
9,0,16,263,766,1010,988,983,976,144,17.01,9.36,10.57,27.80,29.62,24.35,15.40,
17,0,16,248,715,1007,991,984,979,135,15.92,9.63,9.55,26.52,29.68,23.92,16.41,
25,0,16,231,669,1006,986,981,966,129,16.94,10.90,9.33,26.26,27.21,20.44,13.94,
33,0,16,217,617,1005,982,974,951,125,16.03,9.11,9.84,25.39,17.35,22.30,12.45,
41,0,16,196,567,1007,971,940,889,120,16.75,11.76,11.31,23.77,8.48,72.61,15.04,
49,0,16,180,529,1008,989,549,429,121,18.62,11.69,8.73,12.78,72.93,70.97,13.38,
57,0,16,162,478,1007,723,307,325,126,19.43,7.84,8.60,58.15,51.53,16.75,13.94,
65,0,16,146,433,1006,517,245,265,113,19.81,13.35,8.94,54.17,15.26,14.19,12.92,
73,0,16,132,385,1005,422,231,221,123,18.20,7.99,8.75,9.61,16.61,14.91,14.20,
81,0,16,120,345,1007,362,203,188,111,18.42,10.20,7.67,7.81,7.20,9.93,12.87,
89,0,16,104,300,1008,318,175,147,98,19.18,9.32,7.48,10.66,5.12,13.90,13.74,
97,0,16,89,258,1008,287,165,128,97,18.27,11.39,6.27,16.73,9.23,5.63,13.27,
105,0,16,79,217,1006,237,151,122,106,20.23,11.28,4.95,8.93,9.00,9.12,12.65,
113,0,16,72,174,975,181,130,114,109,19.75,9.31,11.91,13.34,10.22,11.84,13.11,
121,0,16,62,132,642,159,116,99,117,17.91,16.48,40.24,16.20,15.30,8.74,12.31,
1,0,24,321,823,996,992,990,987,182,95.82,23.92,16.77,29.03,31.24,25.39,52.78,
9,0,24,262,764,1009,988,985,980,151,18.00,7.58,11.35,28.03,29.49,24.71,16.14,
17,0,24,242,717,1008,992,987,979,141,17.35,9.54,9.20,26.71,29.01,25.42,14.49,
25,0,24,232,670,1010,982,976,970,130,15.39,8.49,7.95,27.11,26.88,20.84,14.91,
33,0,24,214,622,1006,985,975,956,123,15.49,11.90,10.56,25.71,17.05,14.92,13.14,
41,0,24,190,566,1007,971,939,898,124,16.74,12.32,11.25,24.84,8.27,63.32,14.58,
49,0,24,178,529,1008,991,546,430,123,19.28,12.14,8.32,12.64,65.46,68.01,13.06,
57,0,24,161,478,1005,721,306,330,122,20.27,13.00,7.99,55.95,52.44,17.79,8.99,
65,0,24,143,435,1008,513,245,266,117,20.22,12.36,8.35,49.57,15.70,13.45,12.49,
73,0,24,132,383,1008,425,233,224,121,18.05,6.45,8.38,12.07,16.50,13.50,14.34,
81,0,24,117,347,1007,363,202,189,115,19.21,11.39,8.53,6.90,7.52,8.39,10.81,
89,0,24,104,304,1006,313,175,150,104,18.67,9.71,7.68,9.81,5.69,11.24,14.69,
97,0,24,92,259,1009,292,159,131,106,18.19,9.16,6.31,12.77,8.94,7.05,13.33,
105,0,24,80,216,1006,238,154,118,101,18.85,12.32,4.94,10.04,8.90,6.29,11.68,
113,0,24,67,179,979,183,128,103,112,20.14,15.22,9.39,12.25,11.32,6.33,10.71,
121,0,24,57,132,643,169,125,104,116,18.10,18.62,39.49,12.04,14.43,9.38,12.65,
1,0,32,321,817,995,987,986,982,184,81.98,15.43,15.29,29.42,30.46,25.83,52.49,
9,0,32,258,772,1009,993,987,979,148,17.49,12.25,11.09,28.50,30.53,26.77,13.63,
17,0,32,247,716,1004,985,986,971,133,15.60,10.65,10.51,25.29,27.75,22.32,14.31,
25,0,32,228,670,1007,987,984,975,139,16.20,11.09,8.74,27.95,26.50,21.92,12.91,
33,0,32,217,625,998,990,979,962,129,14.81,10.80,11.78,27.56,20.95,18.64,13.39,
41,0,32,191,564,1005,965,941,903,124,16.91,6.97,11.87,24.49,7.82,55.69,14.99,
